timestamps,eeg_1,eeg_2,eeg_3,eeg_4
1554948009.48780,,,,
1554948009.48867,,,,
1554948009.48981,794.5787354,25.38461494,936.0073242,990
1554948009.49371,799.4139404,25.38461494,850.5860596,902.5640869
1554948009.49414,,,,
1554948009.49761,795.3846436,25.38461494,611.2454224,749.4505615
1554948009.50151,801.8314819,25.38461494,512.1245117,813.5164795
1554948009.50541,799.0109863,25.38461494,833.6630249,977.1062012
1554948009.50719,,,,
1554948009.50931,796.1904907,25.38461494,1010.952393,949.3040161
1554948009.51321,797.399292,25.38461494,742.600708,774.835144
1554948009.51351,,,,
1554948009.51710,783.2966919,25.38461494,678.53479,764.3589478
1554948009.52100,782.4908447,24.98168564,848.5714111,938.0219727
1554948009.52381,,,,
1554948009.52490,780.4761963,24.98168564,1018.205139,981.1355591
1554948009.52658,,,,
1554948009.52880,782.4908447,25.38461494,800.2197876,824.3956299
1554948009.53270,799.4139404,25.38461494,565.3113403,740.9890137
1554948009.53289,,,,
1554948009.53660,801.4285889,25.38461494,841.3186646,886.0439453
1554948009.54050,812.3076782,25.38461494,1069.780273,1002.490845
1554948009.54440,814.3223267,25.38461494,958.9743652,871.9414063
1554948009.54598,,,,
1554948009.54830,800.6226807,25.38461494,725.2747192,750.6593628
1554948009.55219,792.1611938,25.38461494,796.9963379,855.8241577
1554948009.55226,,,,
1554948009.55434,,,,
1554948009.55434,,,,
1554948009.55451,,,,
1554948009.55455,,,,
1554948009.55456,,,,
1554948009.55458,,,,
1554948009.55460,,,,
1554948009.55462,,,,
1554948009.55463,,,,
1554948009.55464,,,,
1554948009.55466,,,,
1554948009.55468,,,,
1554948009.55469,,,,
1554948009.55470,,,,
1554948009.55471,,,,
1554948009.55471,,,,
1554948009.55472,,,,
1554948009.55474,,,,
1554948009.55609,793.3699341,25.38461494,1021.831482,1004.102539
1554948009.55896,,,,
1554948009.55999,809.8901367,25.38461494,874.3589478,925.934082
1554948009.56389,805.4578857,25.38461494,644.6886597,759.9267578
1554948009.56537,,,,
1554948009.56779,809.0842285,24.98168564,672.8937988,812.7106323
1554948009.57163,,,,
1554948009.57169,821.5750732,25.78754616,934.7985229,989.1941528
1554948009.57559,802.6373901,26.99633789,1016.996338,975.4945068
1554948009.57949,803.8461304,25.38461494,724.4688721,804.6520386
1554948009.58338,822.3809814,24.98168564,651.1355591,779.6703491
1554948009.58476,,,,
1554948009.58728,820.366272,25.38461494,873.9560547,946.8864746
1554948009.59100,,,,
1554948009.59118,799.8168335,25.38461494,892.0878906,1008.131897
1554948009.59411,,,,
1554948009.59508,780.4761963,25.38461494,718.0219727,855.8241577
1554948009.59898,781.6849976,25.38461494,642.6740112,774.0292969
1554948009.60288,779.6703491,25.38461494,838.4981689,911.4285889
1554948009.60415,,,,
